step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
89,31908,356,0.020418662846402202,1.0,1.0,0.022662244047433264,0.75,0.75,,,,,,
90,32264,360,0.0185548715139986,1.0,1.0,,,,,,,,,
91,32620,364,0.018742174950871774,1.0,1.0,,,,,,,,,
92,33040,368,0.015707418247265056,1.0,1.0,,,,,,,,,
93,33428,372,0.017991603799072328,1.0,1.0,,,,,,,,,
94,33752,376,0.018678901229511255,1.0,1.0,,,,,,,,,
95,34140,380,0.019246172402413584,1.0,1.0,,,,,,,,,
96,34560,384,0.017682475647316745,1.0,1.0,,,,,,,,,
97,34948,388,0.020306397128912794,1.0,1.0,0.03965804349868262,0.75,0.75,,,,,,
98,35272,392,0.02068117937376906,1.0,1.0,,,,,,,,,
99,35628,396,0.018609133082317056,1.0,1.0,,,,,,,,,
100,35920,400,0.021696863696393193,1.0,1.0,,,,,,,,,
101,36212,404,0.01832492407601598,0.75,0.75,,,,,,,,,
102,36600,408,0.02181051607269453,0.75,0.75,,,,,,,,,
103,36924,412,0.030509526968175833,0.75,0.75,,,,,,,,,
104,37344,416,0.019866075112246476,1.0,1.0,,,,,,,,,
105,37764,420,0.013094647563782116,1.0,1.0,0.03372536576226957,0.75,0.75,,,,,,
106,38120,424,0.01752530017104618,1.0,1.0,,,,,,,,,
107,38476,428,0.01920275548229589,1.0,1.0,,,,,,,,,
108,38800,432,0.019434743283781357,1.0,1.0,,,,,,,,,
109,39124,436,0.01741258918590826,1.0,1.0,,,,,,,,,
110,39544,440,0.02156435219436744,0.75,0.75,,,,,,,,,
111,39900,444,0.018688996995471996,1.0,1.0,,,,,,,,,
112,40256,448,0.021206501480479648,1.0,1.0,,,,,,,,,
113,40644,452,0.02303751865050784,1.0,1.0,0.063421086603096,0.5,0.5,,,,,,
114,41032,456,0.021312239660988535,1.0,1.0,,,,,,,,,
115,41388,460,0.020782439145665188,0.75,0.75,,,,,,,,,
116,41744,464,0.020209109772777987,1.0,1.0,,,,,,,,,
117,42100,468,0.02222723618552077,1.0,1.0,,,,,,,,,
118,42552,472,0.022172089003044765,1.0,1.0,,,,,,,,,
119,42908,476,0.019883856847160878,0.75,0.75,,,,,,,,,
120,43360,480,0.01597187435020644,1.0,1.0,,,,,,,,,
121,43684,484,0.022775198500606737,1.0,1.0,0.03634011829411328,0.75,0.75,,,,,,
122,44040,488,0.02142368572943908,1.0,1.0,,,,,,,,,
123,44364,492,0.020653225973787197,0.75,0.75,,,,,,,,,
124,44720,496,0.015089305780313539,1.0,1.0,,,,,,,,,
125,45172,500,0.01799128437310294,1.0,1.0,,,,,,,,,
126,45592,504,0.018024568926988158,1.0,1.0,,,,,,,,,
127,45916,508,0.018459881080137214,1.0,1.0,,,,,,,,,
128,46240,512,0.03615726043418317,0.75,0.75,,,,,,,,,
129,46596,516,0.0210570008588869,1.0,1.0,0.019839406096261045,1.0,1.0,,,,,,
130,46952,520,0.01712633358032424,1.0,1.0,,,,,,,,,
131,47308,524,0.01677809631780741,1.0,1.0,,,,,,,,,
132,47760,528,0.012951085450024649,1.0,1.0,,,,,,,,,
133,48084,532,0.01581720146768257,1.0,1.0,,,,,,,,,
134,48504,536,0.013652895571043797,1.0,1.0,,,,,,,,,
135,48860,540,0.016338759515421283,1.0,1.0,,,,,,,,,
136,49216,544,0.021208363299002986,1.0,1.0,,,,,,,,,
137,49540,548,0.020546582922379604,1.0,1.0,0.024773444920742835,0.75,0.75,,,,,,
138,49896,552,0.018454378533819434,1.0,1.0,,,,,,,,,
139,50348,556,0.019320231680938323,1.0,1.0,,,,,,,,,
140,50736,560,0.019274663272389848,1.0,1.0,,,,,,,,,
141,51124,564,0.017419943680967786,1.0,1.0,,,,,,,,,
142,51448,568,0.02050172422599327,1.0,1.0,,,,,,,,,
143,51772,572,0.021214644054974658,1.0,1.0,,,,,,,,,
144,52096,576,0.01482879205718092,1.0,1.0,,,,,,,,,
145,52420,580,0.01950956044355481,1.0,1.0,0.03371517137769438,0.75,0.75,,,,,,
146,53704,584,0.01498805091691682,1.0,1.0,,,,,,,,,
147,54028,588,0.021972463382177808,1.0,1.0,,,,,,,,,
148,54416,592,0.02326996819748246,1.0,1.0,,,,,,,,,
149,54740,596,0.01829363210390762,1.0,1.0,,,,,,,,,
150,55096,600,0.019936264496196798,1.0,1.0,,,,,,,,,
151,55420,604,0.021489819186820087,1.0,1.0,,,,,,,,,
152,55744,608,0.019879359232609733,1.0,1.0,,,,,,,,,
153,56100,612,0.01918145833892297,1.0,1.0,0.0186933372052571,1.0,1.0,,,,,,
154,56424,616,0.016924673672450784,1.0,1.0,,,,,,,,,
155,56780,620,0.02042546647029344,1.0,1.0,,,,,,,,,
156,57072,624,0.014123790472195443,1.0,1.0,,,,,,,,,
157,57396,628,0.02334314556969362,0.75,0.75,,,,,,,,,
158,57688,632,0.024152640582580147,1.0,1.0,,,,,,,,,
159,58044,636,0.020042745478539934,1.0,1.0,,,,,,,,,
160,58432,640,0.01886410679738054,1.0,1.0,,,,,,,,,
161,58756,644,0.02407918555095299,1.0,1.0,0.021613447345319343,1.0,1.0,,,,,,
162,59144,648,0.019912531990121846,1.0,1.0,,,,,,,,,
163,59468,652,0.017250721495504984,1.0,1.0,,,,,,,,,
164,59824,656,0.02025685003008313,1.0,1.0,,,,,,,,,
165,60148,660,0.020654990487254037,1.0,1.0,,,,,,,,,
166,60440,664,0.0182192054026314,1.0,1.0,,,,,,,,,
167,60828,668,0.02067696011443486,1.0,1.0,,,,,,,,,
168,61152,672,0.01631327253644247,1.0,1.0,,,,,,,,,
169,61508,676,0.015683719450531056,1.0,1.0,0.04028675099815801,0.5,0.5,,,,,,
170,61768,680,0.02441482280262956,1.0,1.0,,,,,,,,,
171,62124,684,0.01936935221106609,1.0,1.0,,,,,,,,,
172,62448,688,0.016056629442255405,1.0,1.0,,,,,,,,,
173,62804,692,0.023973786285800977,1.0,1.0,,,,,,,,,
174,63128,696,0.019570785158697247,1.0,1.0,,,,,,,,,
175,63516,700,0.01598978897379647,1.0,1.0,,,,,,,,,
176,63840,704,0.016438015637177252,1.0,1.0,,,,,,,,,
177,64196,708,0.021286455959575,1.0,1.0,0.047889779230104144,0.5,0.5,,,,,,
178,64616,712,0.016110734751496734,1.0,1.0,,,,,,,,,
179,64940,716,0.017634815854548125,0.75,0.75,,,,,,,,,
180,65264,720,0.019230928499314133,1.0,1.0,,,,,,,,,
181,65620,724,0.018834514970963015,1.0,1.0,,,,,,,,,
182,66008,728,0.017076519612802727,1.0,1.0,,,,,,,,,
183,66364,732,0.016667840953012162,1.0,1.0,,,,,,,,,
184,66688,736,0.018168870529441678,1.0,1.0,,,,,,,,,
185,67076,740,0.019174708266144414,1.0,1.0,0.05384119457385959,0.75,0.75,,,,,,
186,67432,744,0.016976172862934083,1.0,1.0,,,,,,,,,
187,67756,748,0.01578996346934619,1.0,1.0,,,,,,,,,
188,68080,752,0.0253907782390901,1.0,1.0,,,,,,,,,
189,68436,756,0.01717229238064757,1.0,1.0,,,,,,,,,
190,68824,760,0.017357474827995753,1.0,1.0,,,,,,,,,
191,69180,764,0.024446158688000496,1.0,1.0,,,,,,,,,
192,69504,768,0.023430449830615558,1.0,1.0,,,,,,,,,
193,69892,772,0.019297004434657213,1.0,1.0,0.039343878913516955,0.75,0.75,,,,,,
194,70216,776,0.01814202820852267,1.0,1.0,,,,,,,,,
195,70540,780,0.022469214154871974,1.0,1.0,,,,,,,,,
196,71024,784,0.020601204268551873,1.0,1.0,,,,,,,,,
197,71348,788,0.018978686836917703,1.0,1.0,,,,,,,,,
198,71672,792,0.021452155903770476,0.75,0.75,,,,,,,,,
199,71996,796,0.02166293829086506,1.0,1.0,,,,,,,,,
200,72416,800,0.018532008432194578,1.0,1.0,,,,,,,,,
201,72804,804,0.021470039217248178,1.0,1.0,0.01962166603253828,1.0,1.0,,,,,,
202,73192,808,0.018752796157741464,1.0,1.0,,,,,,,,,
203,73484,812,0.02429451209231884,0.5,0.5,,,,,,,,,
204,73936,816,0.03246274126895197,0.75,0.75,,,,,,,,,
205,74260,820,0.01859178590347891,1.0,1.0,,,,,,,,,
206,74584,824,0.02123442183089944,1.0,1.0,,,,,,,,,
207,74908,828,0.018869904307558614,1.0,1.0,,,,,,,,,
208,75232,832,0.019398103781814228,1.0,1.0,,,,,,,,,
209,75620,836,0.018526910341319425,1.0,1.0,0.016824105397185214,1.0,1.0,,,,,,
210,75944,840,0.04801508865007229,0.75,0.75,,,,,,,,,
211,76332,844,0.015666248441030917,1.0,1.0,,,,,,,,,
212,76688,848,0.023511779205773665,1.0,1.0,,,,,,,,,
213,77076,852,0.02044794431729874,1.0,1.0,,,,,,,,,
214,77368,856,0.022441172775540585,1.0,1.0,,,,,,,,,
215,77724,860,0.021172060013877225,1.0,1.0,,,,,,,,,
216,78112,864,0.01681150833280375,1.0,1.0,,,,,,,,,
217,78404,868,0.0257561981447101,0.5,0.5,0.05417301895483845,0.5,0.5,,,,,,
218,78792,872,0.0300209964623252,0.75,0.75,,,,,,,,,
219,79148,876,0.020405073783968806,1.0,1.0,,,,,,,,,
220,79536,880,0.018770304133637138,1.0,1.0,,,,,,,,,
221,79860,884,0.020316380742188073,1.0,1.0,,,,,,,,,
222,80216,888,0.016330748423900456,1.0,1.0,,,,,,,,,
223,80604,892,0.021457531555046403,1.0,1.0,,,,,,,,,
224,80992,896,0.020565167044789782,1.0,1.0,,,,,,,,,
225,81380,900,0.01796980271472291,1.0,1.0,0.024700597709393656,1.0,1.0,,,,,,
226,81672,904,0.020919064890860758,1.0,1.0,,,,,,,,,
227,82124,908,0.01736679113391895,1.0,1.0,,,,,,,,,
228,82416,912,0.020386235126685442,0.75,0.75,,,,,,,,,
229,82740,916,0.026602246629718652,0.75,0.75,,,,,,,,,
230,83032,920,0.019029181491816524,1.0,1.0,,,,,,,,,
231,83388,924,0.018082793032329,1.0,1.0,,,,,,,,,
232,83840,928,0.01797065371801298,1.0,1.0,,,,,,,,,
233,84164,932,0.019114824777454402,1.0,1.0,0.03099635433623297,0.75,0.75,,,,,,
234,84552,936,0.02047767884128529,1.0,1.0,,,,,,,,,
235,84972,940,0.018848232170290562,1.0,1.0,,,,,,,,,
236,85296,944,0.018939347179939198,1.0,1.0,,,,,,,,,
237,86068,948,0.010677690397641817,1.0,1.0,,,,,,,,,
238,86456,952,0.019189228077325284,1.0,1.0,,,,,,,,,
239,86748,956,0.022402584555499188,1.0,1.0,,,,,,,,,
240,87104,960,0.018646904548591657,1.0,1.0,,,,,,,,,
241,87492,964,0.017173868978707315,1.0,1.0,0.02113494413774049,1.0,1.0,,,,,,
242,87784,968,0.01874993021767479,1.0,1.0,,,,,,,,,
243,88140,972,0.015703457651226462,1.0,1.0,,,,,,,,,
244,88496,976,0.019451049766996183,1.0,1.0,,,,,,,,,
245,88820,980,0.02210499397424263,1.0,1.0,,,,,,,,,
246,89176,984,0.01981380865907363,1.0,1.0,,,,,,,,,
247,89532,988,0.019018486848826396,1.0,1.0,,,,,,,,,
248,89856,992,0.020204328581177607,1.0,1.0,,,,,,,,,
249,90212,996,0.01779649396827934,1.0,1.0,0.029517780411000318,0.75,0.75,,,,,,
250,90536,1000,0.015352950001996482,1.0,1.0,,,,,,,,,
251,90924,1004,0.022018931516296986,0.75,0.75,,,,,,,,,
252,91312,1008,0.024298057862345124,0.75,0.75,,,,,,,,,
253,91732,1012,0.01931705867481881,1.0,1.0,,,,,,,,,
254,92088,1016,0.02263201349407996,1.0,1.0,,,,,,,,,
255,92444,1020,0.019425358826016537,1.0,1.0,,,,,,,,,
256,92800,1024,0.020825544612757776,1.0,1.0,,,,,,,,,
257,93284,1028,0.016431541564307692,1.0,1.0,0.03347746100329031,0.75,0.75,,,,,,
258,93640,1032,0.023568956936398214,1.0,1.0,,,,,,,,,
259,93996,1036,0.022457141964805104,1.0,1.0,,,,,,,,,
260,94288,1040,0.017851231932999412,1.0,1.0,,,,,,,,,
261,94644,1044,0.01922115146551653,1.0,1.0,,,,,,,,,
262,94904,1048,0.02281322121916988,1.0,1.0,,,,,,,,,
263,95324,1052,0.01899436738366436,1.0,1.0,,,,,,,,,
264,95648,1056,0.016474725207671622,1.0,1.0,,,,,,,,,
265,95972,1060,0.018235932909337747,1.0,1.0,0.019850921781779406,1.0,1.0,,,,,,
266,96296,1064,0.022050865179288733,1.0,1.0,,,,,,,,,
267,96620,1068,0.020925574846437815,0.75,0.75,,,,,,,,,
268,96976,1072,0.022541577697844224,1.0,1.0,,,,,,,,,
269,97588,1076,0.011495745894258712,1.0,1.0,,,,,,,,,
270,97944,1080,0.016703823548951165,1.0,1.0,,,,,,,,,
271,98268,1084,0.020495878633018435,1.0,1.0,,,,,,,,,
272,98624,1088,0.019960149309324802,1.0,1.0,,,,,,,,,
273,98980,1092,0.027438080693315714,1.0,1.0,0.03125422286169341,0.75,0.75,,,,,,
274,99336,1096,0.01627176604222647,1.0,1.0,,,,,,,,,
275,99660,1100,0.020367738278477782,1.0,1.0,,,,,,,,,
276,100016,1104,0.021372277470938242,1.0,1.0,,,,,,,,,
277,100340,1108,0.018037206441969204,1.0,1.0,,,,,,,,,
278,100696,1112,0.020106896906897556,1.0,1.0,,,,,,,,,
279,101052,1116,0.021660111520234157,1.0,1.0,,,,,,,,,
280,101376,1120,0.01904384048464721,1.0,1.0,,,,,,,,,
281,101636,1124,0.021425385334307365,1.0,1.0,0.04417403033102203,0.5,0.5,,,,,,
282,101960,1128,0.02129602955099459,1.0,1.0,,,,,,,,,
283,102316,1132,0.022542133601415205,0.75,0.75,,,,,,,,,
284,102640,1136,0.01680023505324384,1.0,1.0,,,,,,,,,
285,102964,1140,0.0185781986690451,1.0,1.0,,,,,,,,,
286,103288,1144,0.019579038975818613,1.0,1.0,,,,,,,,,
287,103644,1148,0.020716245745586736,1.0,1.0,,,,,,,,,
288,104000,1152,0.025865610571039845,0.75,0.75,,,,,,,,,
289,104420,1156,0.019130497023019593,1.0,1.0,0.023613366025517318,1.0,1.0,,,,,,
290,104776,1160,0.024816095435081068,1.0,1.0,,,,,,,,,
291,105164,1164,0.017280637841023596,1.0,1.0,,,,,,,,,
292,105520,1168,0.016211219824163563,1.0,1.0,,,,,,,,,
293,105876,1172,0.023165117252126947,1.0,1.0,,,,,,,,,
294,106264,1176,0.019988418313435775,1.0,1.0,,,,,,,,,
295,106588,1180,0.020844719203172817,1.0,1.0,,,,,,,,,
296,107104,1184,0.016984074562875213,1.0,1.0,,,,,,,,,
297,107428,1188,0.02045702180607766,1.0,1.0,0.02260023937977922,1.0,1.0,,,,,,
